district,soil_texture_format,soil_series,parent_material
1,Sedentary Soils,Benta,Andesite
1,Sedentary Soils,Beserah,Granite
1,Sedentary Soils,Jempol,Tuffaceous shale
1,Sedentary Soils,Jerangau,Granodiorite
1,Sedentary Soils,Kuantan,Basalt
1,Sedentary Soils,Lanchang,Granodiorite
1,Sedentary Soils,Mai,Tuffaceous shale
1,Sedentary Soils,Pelepah,Granite
1,Sedentary Soils,Pengerang,Schist
1,Sedentary Soils,Rengam,Granite
1,Sedentary Soils,Segamat,Andesite
1,Sedentary Soils,Selimber,Tuffaceous shale
1,Sedentary Soils,Tai Tak,Granite
1,Sedentary Soils,Tersat,Granite
